,LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
213683,KZ6QLZ29SG,39,106117,156162,483,59,1,21.06,36,0.86,Master's,Unemployed,Divorced,0,Yes,Other,1,0
119458,B97AJ7HD94,55,53356,237867,670,41,2,8.35,36,0.3,PhD,Full-time,Single,1,Yes,Home,1,0
51012,9DNH3RLH0B,22,35244,57064,534,89,1,14.42,48,0.23,Master's,Part-time,Single,1,No,Other,1,0
91090,XDFPU6IY93,39,44549,227370,774,60,3,7.32,36,0.11,Bachelor's,Self-employed,Single,0,No,Business,1,0
116097,FCFTR9PCX9,61,116703,13076,586,109,3,12.19,24,0.12,High School,Part-time,Divorced,1,Yes,Home,0,0
238250,7VHPHOJQ03,47,81968,55285,317,12,3,22.2,60,0.68,Master's,Unemployed,Married,0,No,Education,0,1
146439,0BKVO3GGU6,20,72599,48853,350,44,4,24.76,24,0.65,High School,Part-time,Divorced,1,Yes,Business,1,1
30190,UR6W2NNFN1,58,55492,83044,826,61,4,10.28,24,0.52,High School,Full-time,Married,0,No,Business,1,0
42852,CQLJ8CMKNU,58,105680,69721,801,85,4,2.23,48,0.39,Bachelor's,Unemployed,Single,0,Yes,Education,1,0
238838,P2PFP4O4Z8,33,18581,171103,603,14,3,9.39,36,0.59,PhD,Self-employed,Divorced,0,No,Education,1,1
148898,AEP7OQ1T3I,69,88807,156470,313,45,2,11.36,36,0.75,High School,Part-time,Single,0,No,Other,1,0
124579,GSZHI83EEW,55,140068,76548,602,95,4,2.57,12,0.15,Master's,Part-time,Married,1,No,Other,1,0
136312,N4RPBWT49G,65,129847,11515,541,74,3,13.67,36,0.82,High School,Full-time,Single,1,No,Business,1,0
116935,L6TGU6R5FY,68,113856,152529,307,112,4,2.31,12,0.56,Bachelor's,Unemployed,Single,0,No,Education,1,0
249105,UIM037BPZB,62,74745,107691,431,84,2,7.1,48,0.81,PhD,Part-time,Divorced,1,Yes,Home,0,0
47624,EZ5E66Q93N,61,127335,103997,554,93,2,12.81,36,0.71,Bachelor's,Self-employed,Single,0,Yes,Auto,1,0
118932,550HFM214S,61,34474,131995,362,79,3,17.83,36,0.41,Master's,Self-employed,Single,0,Yes,Auto,1,0
222045,N3K5Y0QR3X,53,133751,43860,525,86,1,5.83,12,0.27,PhD,Unemployed,Divorced,1,No,Other,1,0
113405,CQ96H2RJQV,56,118482,34761,538,71,3,6.42,24,0.14,Bachelor's,Part-time,Single,0,No,Auto,1,0
85433,AV06C853YC,41,40921,155114,334,60,4,15.33,48,0.71,Bachelor's,Unemployed,Divorced,0,No,Home,0,0
10719,SCXN0MVBQX,48,92761,247601,471,79,2,6.44,48,0.62,High School,Unemployed,Divorced,0,Yes,Auto,1,0
237968,W3CXX1H8IE,69,81879,130099,528,103,4,18.1,24,0.33,High School,Part-time,Divorced,0,No,Home,1,0
6092,8B19E8LDZL,62,116076,203982,308,79,1,20.18,24,0.34,Bachelor's,Unemployed,Married,0,No,Auto,1,0
199347,6FYTOUSTCW,26,88782,21439,605,12,4,9.35,48,0.59,Bachelor's,Unemployed,Single,1,Yes,Auto,1,0
135133,HRNUQ3VYXH,67,60682,116856,635,29,1,17.41,60,0.58,High School,Unemployed,Divorced,0,Yes,Education,1,0
49371,0KZEKJHWH7,24,27680,188661,307,86,4,4.43,60,0.72,Bachelor's,Unemployed,Married,1,No,Other,1,0
66736,Y124BOISBX,50,80416,179564,776,49,3,13.15,24,0.44,PhD,Unemployed,Divorced,0,Yes,Home,1,0
87170,QQZ3L67W2N,21,66861,111867,828,107,2,8.32,24,0.15,High School,Unemployed,Married,0,No,Other,1,0
170794,9E4XO5Z2EB,31,64161,110885,562,71,2,16.11,24,0.83,Master's,Full-time,Divorced,1,No,Other,1,0
149834,YFY6W39N05,39,146184,51281,349,84,3,2.87,60,0.17,High School,Self-employed,Single,0,No,Business,1,0
250332,QU1YXDT096,43,18814,7645,368,81,3,22.44,12,0.43,Bachelor's,Unemployed,Married,0,No,Education,0,0
130968,S5MZB37A0S,25,34418,167206,623,77,1,16.57,12,0.51,Master's,Unemployed,Divorced,1,Yes,Business,1,1
179747,KLDDGNGCHK,25,139937,65156,708,27,1,2.58,48,0.25,Master's,Self-employed,Single,1,Yes,Home,1,0
153857,CFEPSIF51U,31,51316,53354,435,95,3,14.75,24,0.28,PhD,Part-time,Married,1,Yes,Education,1,0
227033,2BFWKOUWNA,53,49829,224561,589,20,2,4.62,48,0.32,High School,Unemployed,Married,1,No,Education,0,0
65061,V6N80D8CLU,38,46850,82478,555,7,1,7.58,48,0.72,High School,Full-time,Single,0,Yes,Auto,0,0
192533,VM6SC5OTPJ,52,145971,114704,616,15,3,9.69,12,0.1,PhD,Unemployed,Single,0,Yes,Home,0,0
15366,IZVH7FN27Y,34,128647,185313,620,36,3,13.04,48,0.8,PhD,Part-time,Divorced,0,No,Other,1,0
100400,SBPN9LPI1O,37,68470,44077,673,119,2,10.79,12,0.41,Bachelor's,Part-time,Divorced,1,No,Business,0,0
105761,4WKIPTBVP6,31,88089,234998,322,118,2,7.19,36,0.7,Bachelor's,Self-employed,Single,1,Yes,Home,0,0
28599,QSYVT439YK,42,138786,54080,501,87,4,2.17,36,0.7,Master's,Unemployed,Married,1,No,Other,0,0
255148,9F0BYQBRS9,62,91840,88787,368,79,3,14.25,12,0.16,Master's,Unemployed,Divorced,1,No,Education,1,0
152249,LS4OOMOXIB,66,44982,114657,689,22,4,11.55,48,0.64,PhD,Self-employed,Single,0,No,Home,1,0
65308,RDXMJVH86H,46,43168,140051,321,11,1,14.82,60,0.63,High School,Part-time,Married,1,Yes,Home,0,0
209244,BWD34J171T,60,118774,43200,640,96,3,2.06,36,0.42,Master's,Part-time,Divorced,1,No,Education,0,0
183151,SOGC3DKNX4,24,93023,50123,454,39,3,14.03,36,0.11,Master's,Self-employed,Single,1,Yes,Home,1,0
252239,529U77C5U3,47,112840,208612,480,117,3,13.21,24,0.4,Master's,Self-employed,Married,1,Yes,Other,0,0
103376,FZG6YWP1R4,32,78266,128789,363,32,1,23.09,36,0.17,Master's,Self-employed,Married,0,Yes,Auto,1,0
73614,U82IR0S8F0,19,147027,83985,343,75,2,18.28,12,0.71,Bachelor's,Unemployed,Divorced,1,Yes,Auto,1,0
249196,1792GORT5T,45,78171,178342,516,100,4,8.28,48,0.36,Bachelor's,Full-time,Single,0,No,Other,1,0
75654,ZAA4DF1H7M,61,103738,183508,641,41,1,24.52,12,0.24,Master's,Part-time,Divorced,0,No,Business,0,0
119423,RN47MXNQK0,46,70872,197903,773,76,4,15.48,24,0.55,Master's,Part-time,Divorced,0,Yes,Business,1,0
225912,SPW9FQASWE,67,146606,228230,736,119,2,23.1,12,0.83,PhD,Full-time,Divorced,0,No,Auto,1,0
148484,YLQJH7WDUB,38,59346,147950,344,96,2,8.82,60,0.85,Master's,Unemployed,Married,0,No,Business,1,0
6195,KKYPEWM1L2,34,48906,195561,565,18,1,2.05,24,0.8,Master's,Self-employed,Married,0,No,Business,0,1
21668,4TJP6O05JJ,53,123116,29379,722,100,1,15.0,36,0.52,PhD,Self-employed,Single,0,No,Home,1,0
176560,HJXLFSSWPY,60,131729,71450,519,74,1,9.43,60,0.52,Bachelor's,Part-time,Divorced,0,No,Home,0,0
73464,5ZDEHY3C1W,27,37838,45012,515,78,4,8.39,24,0.49,PhD,Full-time,Divorced,1,No,Business,1,0
2298,FNB7MB01PJ,55,45977,127643,459,10,1,22.99,36,0.6,Master's,Part-time,Married,0,No,Home,1,0
204952,FKEEQQQDBZ,50,131339,206354,825,97,3,21.22,24,0.71,Master's,Full-time,Divorced,1,No,Business,1,0
232985,C0ZNDQ7SOK,42,57726,206956,564,55,4,13.57,24,0.76,High School,Full-time,Married,1,Yes,Business,0,1
778,T32ZCPKZPG,54,46207,214263,582,91,4,11.07,60,0.74,PhD,Unemployed,Divorced,0,No,Other,0,0
107003,2J7ZT4INJ0,42,25284,189892,401,30,2,21.51,60,0.57,High School,Part-time,Married,1,Yes,Other,0,1
244431,JR73SI1IE8,37,54296,100906,588,11,2,2.01,60,0.27,Bachelor's,Unemployed,Single,1,No,Education,0,0
17932,EXHXUI0LJ1,36,89304,38361,576,57,2,3.93,48,0.37,Master's,Full-time,Single,1,No,Education,0,0
194728,KI7DUK5JD2,63,103278,163237,500,9,2,13.83,12,0.4,Master's,Unemployed,Divorced,1,No,Home,0,0
112626,Q5074JU4ML,56,98253,151161,405,112,2,12.43,36,0.86,Bachelor's,Full-time,Divorced,0,Yes,Home,0,1
214680,XEILRG12PQ,65,18634,8805,381,57,3,4.27,60,0.26,PhD,Unemployed,Married,0,No,Education,0,0
78910,E5D90GOH1I,39,60173,107932,611,21,1,18.25,24,0.7,PhD,Part-time,Married,1,Yes,Other,1,0
87167,30UCLTCH09,46,23410,235233,624,48,3,18.13,36,0.41,Bachelor's,Full-time,Married,1,Yes,Auto,1,1
29592,XEXM9K5SZI,30,46976,172198,665,11,2,12.81,24,0.21,High School,Part-time,Single,1,Yes,Other,1,0
173042,DU8UP1CSBE,69,87842,43505,775,104,1,8.55,60,0.87,High School,Self-employed,Divorced,0,No,Education,1,0
146253,1OKC4ENQEE,34,129453,136668,524,57,3,10.91,12,0.16,PhD,Self-employed,Divorced,0,Yes,Business,0,0
14528,ZX1YN8EAMD,68,95645,81222,301,80,1,8.73,36,0.57,High School,Self-employed,Divorced,1,Yes,Other,1,0
168407,UB5ZORFGQE,64,103536,151929,791,5,4,15.31,36,0.7,PhD,Unemployed,Married,1,Yes,Other,1,0
165670,P27LHPO2AG,26,125855,249521,662,96,1,21.61,60,0.87,High School,Unemployed,Married,0,No,Auto,0,1
5111,W2J68YB5UM,41,49159,208110,730,27,1,18.35,36,0.82,Bachelor's,Full-time,Married,1,Yes,Education,1,0
33897,NFC9UC1ENB,59,144608,197522,536,43,4,3.95,48,0.54,High School,Unemployed,Married,1,Yes,Education,1,0
120377,Q2V267KFX1,49,123261,168008,670,5,4,16.44,48,0.67,High School,Self-employed,Single,1,No,Auto,0,0
32597,8G7XQLVDZZ,24,141111,20010,705,0,2,5.95,36,0.69,Bachelor's,Full-time,Single,0,Yes,Business,0,0
50122,KXMYBZGH7H,48,71876,245027,669,49,3,15.94,24,0.13,Master's,Full-time,Single,1,Yes,Other,1,0
216617,9K8Q7JESG7,18,107032,46081,696,62,2,19.27,48,0.78,High School,Unemployed,Divorced,1,No,Auto,1,0
123561,LMWQNZ12BO,35,52860,153180,374,43,3,24.54,36,0.59,Master's,Self-employed,Divorced,1,Yes,Other,1,1
210468,4FP89OVZSL,44,126045,66018,341,13,3,2.76,12,0.79,Bachelor's,Full-time,Single,0,No,Other,0,0
123159,UQEDVR0M3S,22,140386,79013,547,28,2,10.43,12,0.45,Bachelor's,Self-employed,Single,0,Yes,Home,0,0
125065,SJCVEIK1F6,38,18383,117494,456,102,1,16.22,48,0.66,High School,Self-employed,Married,1,No,Home,1,1
129807,S8U1HJK13B,50,38864,117112,310,5,2,3.56,24,0.75,Bachelor's,Self-employed,Married,1,No,Business,1,1
137380,DJYX75JY4B,27,17003,199832,444,5,1,16.5,12,0.85,Master's,Part-time,Divorced,0,No,Education,0,1
174410,96RQ4H0AWT,37,90899,233878,315,12,3,5.2,60,0.11,PhD,Unemployed,Married,0,Yes,Education,0,0
199649,T0FBNFSMYP,62,93033,248067,422,36,4,20.55,36,0.67,High School,Self-employed,Single,1,Yes,Home,0,0
110792,T81WUH3L5A,20,148429,118644,424,106,1,20.84,12,0.85,High School,Part-time,Single,1,Yes,Auto,1,0
135362,62R5AUF6T2,68,50481,210630,387,62,3,20.64,12,0.39,Bachelor's,Part-time,Married,0,Yes,Auto,1,0
69125,VE8NNM02TW,67,37621,101473,548,26,3,14.84,36,0.24,Master's,Self-employed,Married,0,Yes,Home,0,0
240044,KVG6WMEEH4,52,15563,113290,418,40,3,5.62,60,0.39,High School,Unemployed,Married,1,No,Auto,0,1
243423,4R3ZNRD62D,67,102118,105484,718,30,3,10.49,48,0.58,High School,Self-employed,Married,1,No,Home,1,0
221786,VL2P5ORD2E,21,109035,126140,406,54,4,21.56,48,0.54,High School,Full-time,Divorced,0,No,Business,1,0
41954,8B5DVCP706,68,112896,244914,670,11,2,14.92,24,0.66,High School,Full-time,Divorced,1,No,Other,1,0
233838,SQF3MY5UX1,49,115925,44627,761,78,1,3.86,24,0.85,High School,Self-employed,Married,1,Yes,Other,1,0
40408,DPFO2DTJ0J,29,62649,156271,323,66,4,2.91,36,0.22,Master's,Self-employed,Married,0,Yes,Home,0,0
205089,UOHQUCBNI1,23,136616,16342,421,82,4,14.19,60,0.77,Master's,Unemployed,Married,1,Yes,Business,1,0
88074,KGLJN0VK3X,64,26130,124853,705,93,4,6.51,36,0.26,PhD,Unemployed,Divorced,1,No,Home,1,0
158439,ZHLMIRX7GA,38,70339,153904,396,76,4,19.52,36,0.65,Master's,Self-employed,Married,1,Yes,Other,0,0
157750,128TKCABPU,36,84467,161754,723,106,1,18.65,48,0.62,High School,Full-time,Divorced,0,No,Home,0,0
206842,E2Q76X1DPF,65,79644,199657,303,68,4,9.89,24,0.68,Master's,Self-employed,Married,1,Yes,Other,0,0
97112,3IUJNRLLGN,42,75034,23442,646,74,4,24.67,36,0.37,High School,Full-time,Single,1,Yes,Education,1,0
95692,1GCMWGEYXG,37,53207,94370,751,7,2,19.35,36,0.13,Master's,Full-time,Single,1,No,Home,0,0
138230,IMMPFLBFCO,29,119238,107782,594,87,1,5.41,60,0.65,Bachelor's,Self-employed,Single,1,Yes,Education,1,0
82510,2QCH25UMRR,39,15071,92122,712,109,1,18.47,48,0.42,Master's,Part-time,Divorced,1,Yes,Business,1,0
169134,2J7YFXYEWC,57,53620,201801,552,95,3,21.75,36,0.88,High School,Part-time,Married,0,No,Other,1,0
111643,YUG15YXVKP,53,137987,242796,527,70,4,3.88,60,0.54,Bachelor's,Self-employed,Married,0,Yes,Business,0,0
242749,V85G5PGSKI,61,41801,27369,814,10,4,22.42,12,0.46,Bachelor's,Self-employed,Divorced,1,No,Home,1,0
243325,8QERE94DBA,44,24195,249782,465,30,2,11.46,24,0.2,PhD,Self-employed,Married,0,Yes,Other,0,0
117115,QE6WXPYA5G,60,64730,97269,457,49,1,7.47,48,0.37,High School,Full-time,Single,1,No,Other,1,1
103914,G37O3HQW1A,62,40471,131320,506,36,3,3.86,60,0.32,High School,Part-time,Married,0,Yes,Business,1,0
8078,EQ4LJROGSF,25,148837,157803,509,50,4,17.58,60,0.26,Bachelor's,Unemployed,Divorced,1,No,Business,0,1
164967,HLK82FRJDA,52,139900,92154,546,8,4,6.28,12,0.24,Master's,Full-time,Single,1,Yes,Home,1,0
79675,5K74R9V4KJ,31,19314,90492,696,72,4,2.65,24,0.3,PhD,Full-time,Divorced,0,Yes,Other,1,1
67636,3IGOHXCACV,62,108002,206247,700,34,2,24.25,36,0.71,Bachelor's,Unemployed,Single,0,No,Other,1,0
103826,U6XYOU8YOM,59,33539,108178,330,44,1,22.22,60,0.82,Master's,Part-time,Single,1,Yes,Business,0,1
8746,30RUJOLQJ4,51,53206,52489,495,14,1,13.87,36,0.13,Bachelor's,Part-time,Divorced,0,No,Other,0,0
213427,X0OFQ6XY7V,34,74097,125081,680,56,3,22.82,60,0.79,Bachelor's,Part-time,Single,1,No,Business,1,0
164265,RCFBM629B7,20,118882,128625,476,83,4,14.99,12,0.59,Bachelor's,Full-time,Single,0,Yes,Auto,1,1
72385,NBZEM84UOY,26,86717,185787,810,81,1,14.17,60,0.47,Master's,Part-time,Divorced,1,Yes,Education,1,0
230463,DOODVMNI2P,28,79206,165242,473,36,3,10.75,24,0.53,Bachelor's,Full-time,Single,1,No,Other,1,0
191689,FNDP2GORDU,41,79443,241689,540,52,1,21.38,12,0.16,Bachelor's,Unemployed,Single,1,No,Education,1,1
219947,RHHHAKF01E,44,98479,224884,658,40,1,2.85,48,0.22,Bachelor's,Full-time,Married,1,Yes,Other,1,0
226130,XECV50U4H3,36,37302,186001,326,94,4,17.09,24,0.42,High School,Unemployed,Married,0,Yes,Other,1,1
119308,VLJKZYGHW4,38,74684,218514,664,35,1,19.69,12,0.89,PhD,Full-time,Married,0,No,Other,1,0
36081,J9JY51LI2R,58,130449,227760,649,86,2,11.62,36,0.48,Bachelor's,Full-time,Single,1,Yes,Education,1,0
96112,TXC0YF1W2F,29,126756,137415,394,37,4,13.2,60,0.67,PhD,Full-time,Divorced,1,Yes,Other,0,0
50619,48J99YZ50Y,61,82761,188644,827,59,1,14.58,36,0.2,Master's,Self-employed,Married,1,Yes,Other,1,0
92151,YDT5JT1N1G,58,142973,183000,568,70,2,16.97,24,0.86,Bachelor's,Unemployed,Divorced,1,No,Other,0,0
37754,GV07FKUO2C,45,75903,218559,356,5,2,16.42,12,0.6,PhD,Full-time,Divorced,1,No,Home,1,0
100689,V6NHZSAOIH,36,25162,178990,726,37,2,7.25,24,0.18,Master's,Part-time,Divorced,1,Yes,Education,0,0
167775,77WV0SHWD8,38,145888,84689,803,40,1,20.25,36,0.47,Bachelor's,Unemployed,Married,0,No,Business,1,1
250986,8BCJWHDBY2,64,85091,7815,419,85,2,19.53,60,0.84,High School,Unemployed,Single,1,No,Business,1,0
250586,CT9WZZYJCN,56,69738,36516,499,49,4,17.13,48,0.78,High School,Unemployed,Divorced,1,Yes,Home,0,1
14711,EGXJ70O8YO,41,47193,138314,349,22,4,14.4,60,0.58,Master's,Self-employed,Single,0,Yes,Home,1,0
126781,AEOA4TYNPB,50,106706,51224,599,13,3,21.85,48,0.36,PhD,Full-time,Married,0,No,Home,0,0
97762,AHRPEZ69RR,48,92036,222044,365,43,2,19.04,12,0.46,Master's,Unemployed,Divorced,1,No,Other,0,0
113440,PVXPFCPYXG,67,60430,196029,552,39,3,7.33,36,0.41,Master's,Part-time,Divorced,1,No,Business,1,0
180756,B4W85Y9PC7,29,55672,98894,636,56,1,13.98,36,0.49,Master's,Full-time,Married,1,Yes,Home,0,0
177692,GEYVLLC3MO,34,99172,144100,582,76,3,7.19,60,0.18,PhD,Full-time,Married,1,Yes,Other,1,0
72238,EFQ9OM9AWX,62,39419,183482,561,41,2,17.65,48,0.68,High School,Self-employed,Single,1,Yes,Auto,1,0
2948,I0H6KIAT1Q,32,79887,132271,627,44,3,3.49,12,0.55,PhD,Part-time,Single,0,No,Education,1,0
41545,5ISN0WC3RK,64,87434,65049,389,62,2,3.17,24,0.89,Master's,Part-time,Divorced,1,No,Education,0,0
16107,A32VW7U5XP,69,131685,111082,737,119,1,18.69,12,0.66,High School,Unemployed,Divorced,1,Yes,Business,0,0
242988,E2H88LGYCB,22,53187,80657,594,48,3,23.23,60,0.3,High School,Part-time,Divorced,1,Yes,Education,1,1
37701,FVB9YJN6TL,65,89217,88122,521,72,2,15.13,24,0.45,Master's,Self-employed,Single,0,Yes,Other,0,0
66458,PFWEPCCFQA,57,130217,61983,826,66,1,11.14,36,0.72,High School,Unemployed,Single,1,No,Auto,1,0
50359,QRTN4SEU6S,23,107007,116448,762,69,4,22.95,60,0.25,PhD,Self-employed,Divorced,1,No,Business,0,0
198510,TKGLAN8BX6,49,44297,30998,574,34,3,5.92,60,0.41,PhD,Full-time,Married,1,No,Auto,0,0
20054,PG38ZLCIP0,58,126323,73725,680,0,2,12.03,36,0.86,PhD,Full-time,Married,1,No,Other,0,0
89989,PJIZJATWWW,55,51720,132973,518,105,4,23.56,24,0.27,Bachelor's,Part-time,Married,1,Yes,Home,1,0
70477,VNIZ1F4JY7,19,75486,52293,737,64,3,20.79,12,0.62,Master's,Full-time,Single,1,Yes,Home,0,0
344,DJDLSGD2YI,34,126552,174472,812,38,3,24.21,48,0.18,Master's,Unemployed,Divorced,0,No,Other,0,0
142934,MQDZBZ2OGD,44,136326,159045,342,54,2,16.66,36,0.52,Master's,Full-time,Divorced,1,Yes,Education,0,0
197122,HIQ7KUW4I8,21,81949,179855,644,49,3,15.57,12,0.76,High School,Part-time,Married,1,Yes,Auto,0,0
184233,RV2RTIGMGV,20,116103,10361,314,110,3,8.23,24,0.25,Bachelor's,Self-employed,Married,1,No,Education,1,0
29937,9UZKNGK0DL,46,51210,227763,631,69,4,6.62,48,0.69,PhD,Part-time,Married,1,Yes,Education,0,0
111353,2G7HN7OT2G,35,27159,33831,652,91,1,24.56,36,0.54,High School,Full-time,Single,1,Yes,Other,0,0
237703,20NV7HR6W7,28,70575,159595,416,18,2,2.72,36,0.16,Master's,Self-employed,Married,0,No,Home,0,0
217697,3QI8GMOFY5,66,78018,86366,771,48,2,13.71,12,0.74,Bachelor's,Self-employed,Divorced,1,Yes,Home,0,0
114350,BJ4EJ1D8FC,63,33001,243357,761,97,1,21.52,24,0.45,Bachelor's,Self-employed,Married,1,Yes,Home,0,0
197112,H5VQZ3HDKV,40,45531,87577,779,41,2,15.42,36,0.25,Bachelor's,Unemployed,Single,0,Yes,Other,0,0
22570,Y62AFFDJHN,65,131790,107106,676,90,1,10.26,60,0.4,Bachelor's,Part-time,Married,1,No,Auto,1,0
10250,SV14GEKSBV,33,129825,192112,380,9,1,24.47,36,0.86,PhD,Full-time,Single,0,No,Other,0,1
12934,UDIQMD1DA0,39,147497,79307,655,35,2,17.09,60,0.19,Master's,Self-employed,Single,1,No,Business,1,0
193720,USAIMLM5PA,46,47354,201677,561,88,1,6.32,36,0.86,Bachelor's,Self-employed,Single,0,No,Auto,0,0
223773,E9IFD1JDXF,38,33798,28035,785,100,3,5.43,24,0.42,PhD,Full-time,Divorced,1,No,Education,0,0
178127,2DK56Y4VJ7,42,49052,38737,386,43,3,8.72,60,0.15,Master's,Unemployed,Single,1,No,Education,1,0
27489,53LQCXNCZA,34,84639,195095,352,62,2,22.45,48,0.88,PhD,Unemployed,Single,0,No,Business,1,0
84681,XXPPNNYGRE,37,122163,54431,376,93,3,24.48,24,0.3,Master's,Part-time,Married,1,No,Auto,1,0
139174,8NNZC4W02W,55,43780,161931,364,100,1,22.79,60,0.67,Bachelor's,Self-employed,Married,1,No,Business,0,0
200444,KLKZ8O4X9B,53,34270,14853,654,116,4,22.78,12,0.36,PhD,Full-time,Single,1,Yes,Home,0,0
83771,WVBCS29REQ,23,97453,112513,487,43,1,13.2,12,0.44,High School,Self-employed,Married,0,No,Auto,1,0
96528,ER05YKCGXJ,52,117137,69471,728,45,2,23.65,36,0.14,High School,Full-time,Single,0,Yes,Education,1,0
86885,SW02QNLZ88,19,137926,55565,791,68,2,17.44,36,0.76,PhD,Full-time,Single,0,Yes,Other,1,0
113423,JB9OJY0UE9,50,19323,112603,665,82,4,8.37,60,0.79,Master's,Self-employed,Single,1,Yes,Auto,1,0
239056,83RJYM3TQW,68,139964,211730,600,89,3,8.26,36,0.45,Bachelor's,Unemployed,Married,1,No,Education,0,0
102557,8Q9LUT7HC4,53,60611,233125,625,99,4,10.46,12,0.81,PhD,Unemployed,Married,1,Yes,Business,1,0
93330,OZ5RMOGDKK,25,96953,112153,630,73,4,23.85,36,0.1,Master's,Full-time,Single,0,Yes,Education,1,0
167492,MJQ6N1MJ0A,57,41749,218625,495,119,2,10.12,12,0.57,High School,Part-time,Single,1,No,Business,0,0
199201,P6ST6OU0LG,55,35688,74226,320,8,4,16.8,60,0.58,Bachelor's,Self-employed,Single,0,No,Home,1,0
245117,I1WDPR9WQ5,39,103355,67084,768,46,2,24.75,24,0.74,Master's,Self-employed,Single,1,No,Business,1,1
96234,4UVDMBLLH5,66,45955,58524,376,79,4,5.69,24,0.24,Bachelor's,Self-employed,Single,0,No,Business,1,0
127916,LECY13HWN2,66,108435,111391,421,89,3,5.29,12,0.62,Bachelor's,Full-time,Divorced,0,No,Other,0,0
123149,EJUQFAGCPB,63,101641,29210,408,7,3,18.25,60,0.67,Bachelor's,Self-employed,Divorced,1,Yes,Other,0,0
77807,SNC2PD65W3,55,90670,212430,397,8,4,7.52,36,0.52,PhD,Part-time,Single,0,Yes,Business,0,0
50445,8DZKNBOVXU,64,58694,162870,460,93,4,17.59,48,0.32,High School,Unemployed,Divorced,0,Yes,Education,0,0
255036,86CMM9QK0O,18,71422,37370,667,73,4,15.06,36,0.11,Bachelor's,Part-time,Single,1,Yes,Education,0,0
104031,NGBR5YPJD4,57,92792,183932,594,119,1,2.44,24,0.87,PhD,Self-employed,Single,1,No,Business,1,0
31090,4072FIVL1A,46,95219,190783,725,26,2,14.18,36,0.29,Bachelor's,Part-time,Married,1,No,Home,1,0
68588,VGSNY6F9C3,61,32506,84187,748,25,4,14.3,24,0.2,Bachelor's,Unemployed,Single,1,Yes,Business,0,0
99421,YWRCFUGK2M,37,137871,155163,706,80,3,21.83,36,0.61,PhD,Self-employed,Divorced,0,No,Education,0,1
236685,EFXSCYBLXK,35,30087,205220,530,89,1,20.58,12,0.73,Master's,Full-time,Married,0,Yes,Education,1,1
41259,NKKLYAROJO,51,98307,108388,688,33,1,11.57,48,0.49,High School,Unemployed,Divorced,0,Yes,Auto,1,0
185627,DEPXO2A3CT,25,50140,223592,824,97,4,20.31,36,0.18,Bachelor's,Unemployed,Married,1,No,Home,1,1
34345,ASW7ES5J5W,20,45099,103272,418,90,3,5.54,36,0.14,High School,Full-time,Single,1,No,Other,1,0
160372,ELSYPANMLP,41,88618,55981,500,59,2,13.39,36,0.69,Bachelor's,Self-employed,Married,1,No,Education,1,0
175092,PXQ6ELUJ2Z,61,68495,120898,307,27,4,17.21,48,0.58,PhD,Self-employed,Married,1,Yes,Other,0,0
11293,BIX8S04K85,51,49342,200443,662,17,1,6.73,36,0.27,Bachelor's,Self-employed,Single,0,Yes,Other,1,0
158446,4NC92JHWH0,59,52982,228852,649,1,3,19.34,60,0.29,High School,Unemployed,Single,1,Yes,Auto,0,0
77339,JWGX0XDAHR,26,57600,111387,717,103,1,8.73,60,0.55,Bachelor's,Self-employed,Single,0,Yes,Business,0,0
204173,NY4VXJBFPJ,45,138960,179830,596,114,4,21.7,24,0.59,PhD,Part-time,Single,1,No,Education,1,0
187389,WH1IYNKJLD,19,24306,37712,413,95,1,5.43,12,0.75,Master's,Full-time,Divorced,0,Yes,Business,1,0
103187,473DZ271VU,60,67665,158405,639,34,4,8.69,24,0.64,PhD,Unemployed,Divorced,0,No,Home,1,0
72851,67MNGX2MZT,32,97619,6452,403,80,4,13.86,60,0.65,PhD,Full-time,Divorced,1,No,Business,1,0
236236,XX2PVBUI4D,32,26232,155106,669,76,1,19.67,12,0.89,Bachelor's,Self-employed,Married,1,No,Business,0,0
253999,WD9ACM5UF1,66,15938,140742,778,91,4,6.15,12,0.25,Master's,Part-time,Married,0,No,Education,1,0
158819,UH3U9IZZ7V,19,73487,217823,743,25,4,5.75,60,0.67,High School,Part-time,Married,0,Yes,Home,0,1
234041,216AOQQP70,46,101442,47682,348,9,2,4.78,24,0.14,High School,Self-employed,Single,1,No,Home,1,0
229631,59U54LHNW2,60,97894,71857,483,66,4,7.57,12,0.5,PhD,Self-employed,Single,1,No,Other,0,0
82233,1ZIYPB2XMV,69,72845,82712,338,61,4,12.38,36,0.72,PhD,Self-employed,Single,0,No,Auto,1,0
36396,N66USCLJSK,66,59095,157093,487,1,3,17.16,48,0.32,High School,Part-time,Divorced,1,Yes,Auto,1,0
152091,286S5MCF64,65,99911,196410,354,27,1,24.71,24,0.15,High School,Unemployed,Divorced,1,No,Auto,0,0
103437,LLPJO3N0P4,49,54587,92438,363,32,1,22.88,60,0.61,Master's,Unemployed,Married,0,Yes,Business,1,1
121537,V3V3BLFX71,29,34556,145520,759,110,2,4.46,48,0.57,PhD,Unemployed,Married,1,Yes,Business,1,0
